episode,shots,reward,moving_avg_shots,moving_avg_rewards
1,43,13.100000000000012,43.0,13.100000000000012
2,13,16.1,28.0,14.600000000000007
3,46,12.800000000000011,34.0,14.000000000000009
4,28,14.600000000000003,32.5,14.150000000000007
5,29,14.500000000000007,31.8,14.220000000000008
6,55,11.900000000000007,35.666666666666664,13.833333333333341
7,19,15.500000000000005,33.285714285714285,14.071428571428578
8,9,16.5,30.25,14.375000000000005
9,8,16.6,27.77777777777778,14.622222222222227
10,16,15.800000000000002,26.6,14.740000000000006
11,22,15.200000000000006,26.181818181818183,14.781818181818188
12,12,16.2,25.0,14.900000000000006
13,20,15.400000000000004,24.615384615384617,14.938461538461544
14,36,13.800000000000011,25.428571428571427,14.857142857142863
15,42,13.200000000000014,26.533333333333335,14.746666666666673
16,16,15.800000000000004,25.875,14.812500000000007
17,24,15.000000000000005,25.764705882352942,14.823529411764712
18,17,15.700000000000003,25.27777777777778,14.872222222222227
19,30,14.400000000000006,25.526315789473685,14.84736842105264
20,24,15.000000000000004,25.45,14.855000000000008
21,10,16.4,24.714285714285715,14.928571428571434
22,22,15.200000000000005,24.59090909090909,14.940909090909095
23,18,15.600000000000003,24.304347826086957,14.96956521739131
24,20,15.400000000000006,24.125,14.987500000000004
25,12,16.200000000000003,23.64,15.036000000000003
26,40,13.40000000000001,24.26923076923077,14.973076923076928
27,44,13.000000000000009,25.0,14.900000000000004
28,22,15.200000000000003,24.892857142857142,14.91071428571429
29,16,15.800000000000004,24.586206896551722,14.941379310344832
30,24,15.000000000000005,24.566666666666666,14.943333333333337
31,19,15.500000000000004,24.387096774193548,14.961290322580648
32,23,15.100000000000007,24.34375,14.965625000000005
33,11,16.300000000000004,23.939393939393938,15.006060606060611
34,10,16.400000000000002,23.529411764705884,15.047058823529415
35,7,16.700000000000003,23.057142857142857,15.09428571428572
36,16,15.800000000000002,22.86111111111111,15.113888888888892
37,24,15.000000000000007,22.89189189189189,15.110810810810815
38,41,13.30000000000001,23.36842105263158,15.063157894736845
39,17,15.700000000000005,23.205128205128204,15.079487179487183
40,6,16.8,22.775,15.122500000000002
41,16,15.800000000000002,22.609756097560975,15.139024390243904
