episode,shots,reward,moving_avg_shots,moving_avg_rewards
1,11761,-1153.6000000000327,11761.0,-1153.6000000000327
2,9,21.6,5885.0,-566.0000000000164
3,5458,-526.3000000000534,5742.666666666667,-552.7666666666954
4,7597,-740.200000000102,6206.25,-599.6250000000471
5,59,13.600000000000017,4976.8,-476.98000000003765
6,31,19.40000000000001,4152.5,-394.2500000000314
7,27,19.799999999999997,3563.1428571428573,-335.10000000002685
8,630,-43.500000000000476,3196.5,-298.65000000002357
9,27,16.800000000000004,2844.3333333333335,-263.60000000002094
10,32,16.300000000000004,2563.1,-235.61000000001883
11,2899,-270.39999999999526,2593.6363636363635,-238.77272727274394
12,1086,-86.09999999999853,2468.0,-226.05000000001516
13,495,-27.00000000000032,2316.230769230769,-210.73846153847555
14,4791,-459.6000000000383,2493.0,-228.51428571430145
15,3575,-338.00000000001063,2565.133333333333,-235.8133333333487
16,1557,-136.19999999999595,2502.125,-229.5875000000142
17,55,17.000000000000007,2358.176470588235,-215.0823529411898
18,30,16.500000000000007,2228.8333333333335,-202.2166666666793
19,193,0.2000000000000144,2121.684210526316,-191.5631578947488
20,1358,-116.29999999999708,2083.5,-187.8000000000112
21,10,15.5,1984.7619047619048,-178.1190476190583
22,566,-34.10000000000042,1920.2727272727273,-171.57272727273747
23,25,20.000000000000004,1837.8695652173913,-163.24347826087933
24,16,20.9,1761.9583333333333,-155.57083333334273
25,1100,-87.49999999999844,1735.48,-152.84800000000897
26,1023,-79.79999999999887,1708.076923076923,-150.0384615384701
27,47,17.800000000000015,1646.5555555555557,-143.82222222223047
28,978,-75.29999999999913,1622.6785714285713,-141.37500000000793
29,23,20.200000000000006,1567.5172413793102,-135.80344827586973
30,3003,-280.7999999999976,1615.3666666666666,-140.636666666674
31,923,-69.79999999999944,1593.032258064516,-138.35161290323288
32,1808,-161.29999999999453,1599.75,-139.06875000000667
33,2440,-224.49999999999096,1625.2121212121212,-141.65757575758195
34,47,14.80000000000001,1578.7941176470588,-137.05588235294718
35,227,-0.19999999999995666,1540.1714285714286,-133.14571428572012
36,2362,-213.69999999999126,1563.0,-135.38333333333878
37,3624,-342.90000000001174,1618.7027027027027,-140.9918918918975
38,1842,-164.69999999999433,1624.578947368421,-141.61578947368952
39,52,17.30000000000001,1584.2564102564102,-137.5410256410308
40,2343,-214.79999999999148,1603.225,-139.4725000000048
41,2053,-182.79999999999302,1614.1951219512196,-140.52926829268745
42,1156,-93.09999999999813,1603.2857142857142,-139.40000000000438
43,15,15.000000000000002,1566.3488372093022,-135.80930232558566
44,1297,-107.19999999999732,1560.2272727272727,-135.15909090909503
45,7,15.8,1525.7111111111112,-131.80444444444845
46,2921,-269.5999999999962,1556.0434782608695,-134.80000000000385
47,1342,-114.69999999999717,1551.4893617021276,-134.3723404255356
48,1326,-113.09999999999727,1546.7916666666667,-133.92916666667023
49,45,15.000000000000014,1516.142857142857,-130.88979591837085
50,411,-21.60000000000017,1494.04,-128.70400000000345
51,1454,-125.89999999999654,1493.2549019607843,-128.64901960784644
52,336,-11.100000000000097,1471.0,-126.38846153846478
53,11,18.4,1443.4528301886792,-123.6566037735881
54,399,-20.400000000000155,1424.111111111111,-121.7444444444476
55,1167,-97.19999999999817,1419.4363636363637,-121.29818181818487
56,324,-9.900000000000057,1399.875,-119.30892857143155
57,985,-75.99999999999909,1392.5964912280701,-118.54912280702045
58,2332,-213.69999999999155,1408.7931034482758,-120.18965517241651
59,992,-79.69999999999916,1401.7288135593221,-119.50338983051113
60,1409,-118.39999999999668,1401.85,-119.48500000000256
61,32,16.300000000000004,1379.3934426229507,-117.25901639344514
62,1220,-102.49999999999787,1376.8225806451612,-117.02096774193792
63,1174,-97.89999999999813,1373.6031746031747,-116.71746031746268
64,668,-44.300000000000566,1362.578125,-115.58593750000233
65,40,18.500000000000007,1342.2307692307693,-113.52307692307922
66,790,-56.50000000000023,1333.8636363636363,-112.65909090909317
67,58,13.700000000000012,1314.8208955223881,-110.77313432836044
68,1945,-171.99999999999363,1324.0882352941176,-111.67352941176681
69,32,16.30000000000001,1305.3623188405797,-109.81884057971222
70,1981,-178.59999999999354,1315.0142857142857,-110.80142857143052
71,212,1.3000000000000314,1299.4788732394366,-109.22253521126953
72,20,20.500000000000004,1281.7083333333333,-107.42083333333522
73,558,-33.30000000000041,1271.7945205479452,-106.40547945205667
74,1665,-143.99999999999523,1277.1081081081081,-106.9135135135153
75,18,14.700000000000003,1260.32,-105.29200000000176
76,24,17.1,1244.0526315789473,-103.68157894737016
77,1400,-120.49999999999685,1246.077922077922,-103.90000000000168
78,25,14.000000000000002,1230.423076923077,-102.38846153846319
79,30,13.5,1215.2278481012659,-100.9215189873434
80,28,19.700000000000006,1200.3875,-99.41375000000161
81,504,-30.900000000000304,1191.79012345679,-98.5679012345695
82,320,-9.500000000000064,1181.158536585366,-97.48170731707475
83,208,1.7000000000000304,1169.433734939759,-96.28674698795338
84,64,16.100000000000016,1156.2738095238096,-94.94880952381106
85,2119,-192.39999999999276,1167.6,-96.09529411764849
86,41,15.400000000000006,1154.5,-94.79883720930376
87,234,-0.899999999999956,1143.9195402298851,-93.71954022988646
88,24,20.100000000000005,1131.1931818181818,-92.42613636363775
89,990,-79.49999999999918,1129.6067415730338,-92.28089887640586
90,731,-53.60000000000062,1125.1777777777777,-91.85111111111247
91,40,15.500000000000009,1113.2527472527472,-90.67142857142991
92,1410,-118.4999999999967,1116.4782608695652,-90.97391304347956
93,36,15.900000000000006,1104.8602150537633,-89.82473118279698
94,24,17.100000000000005,1093.3617021276596,-88.68723404255445
95,472,-24.700000000000287,1086.821052631579,-88.01368421052757
96,1081,-88.59999999999867,1086.7604166666667,-88.0197916666679
97,358,-13.300000000000129,1079.2474226804125,-87.24948453608368
98,54,14.100000000000016,1068.7857142857142,-86.21530612245017
99,826,-60.099999999999994,1066.3333333333333,-85.95151515151633
100,417,-19.200000000000212,1059.84,-85.28400000000119
101,1735,-153.99999999999494,959.58,-75.2880000000008
102,189,0.6000000000000245,961.38,-75.4980000000008
103,30,19.500000000000007,907.1,-70.04000000000028
104,609,-41.400000000000446,837.22,-63.05199999999925
105,323,-9.80000000000007,839.86,-63.285999999999255
106,31,16.400000000000006,839.86,-63.315999999999256
107,57,16.80000000000002,840.16,-63.345999999999265
108,847,-62.199999999999875,842.33,-63.532999999999255
109,19,14.600000000000003,842.25,-63.554999999999254
110,220,0.5000000000000409,844.13,-63.71299999999925
111,36,18.900000000000002,815.5,-60.8199999999993
112,811,-61.60000000000019,812.75,-60.57499999999933
113,870,-64.49999999999976,816.5,-60.94999999999932
114,22,20.300000000000004,768.81,-56.15099999999894
115,572,-34.70000000000043,738.78,-53.11799999999884
116,26,13.9,723.47,-51.61699999999888
117,348,-12.300000000000114,726.4,-51.909999999998874
118,11,15.4,726.21,-51.920999999998884
119,52,11.300000000000013,724.8,-51.80999999999887
120,30,13.500000000000005,711.52,-50.511999999998906
121,49,14.600000000000005,711.91,-50.52099999999891
122,36,18.900000000000013,706.61,-49.99099999999889
123,481,-28.600000000000264,711.17,-50.476999999998895
124,17,17.800000000000004,711.18,-50.5079999999989
125,46,17.900000000000013,700.64,-49.45399999999892
126,462,-26.700000000000244,695.03,-48.92299999999892
127,434,-23.900000000000198,698.9,-49.33999999999894
128,20,17.5,689.32,-48.41199999999894
129,313,-8.79999999999997,692.22,-48.70199999999895
130,802,-60.700000000000244,670.21,-46.50099999999897
131,69,15.600000000000012,661.67,-45.64699999999897
132,1163,-93.79999999999808,655.22,-44.971999999999
133,134,6.100000000000004,632.16,-42.66599999999909
134,900,-67.49999999999957,640.69,-43.488999999999095
135,73,12.200000000000014,639.15,-43.3649999999991
136,17,17.800000000000004,615.7,-41.04999999999918
137,206,-1.0999999999999712,581.52,-37.63199999999906
138,328,-10.300000000000075,566.38,-36.08799999999912
139,672,-44.70000000000058,572.58,-36.707999999999124
140,584,-38.90000000000042,554.99,-34.94899999999922
