episode,shots,reward
1,22,12
2,22,12
3,24,12
4,21,12
5,23,12
6,25,12
7,24,12
8,25,12
9,17,12
10,22,12
11,12,12
12,24,12
13,20,12
14,24,12
15,17,12
16,20,12
17,23,12
18,25,12
19,22,12
20,9,12
21,25,12
22,23,12
23,25,12
24,23,12
25,24,12
26,19,12
27,19,12
28,18,12
29,18,12
30,25,12
31,24,12
32,21,12
33,22,12
34,24,12
35,22,12
36,23,12
37,21,12
38,25,12
39,19,12
40,24,12
41,23,12
42,21,12
43,21,12
44,22,12
45,21,12
46,20,12
47,22,12
48,24,12
49,23,12
50,25,12
51,24,12
52,24,12
53,22,12
54,17,12
55,18,12
56,25,12
57,21,12
58,18,12
59,24,12
60,25,12
61,21,12
62,25,12
63,22,12
64,23,12
65,22,12
66,19,12
67,24,12
68,19,12
69,15,12
70,25,12
71,24,12
72,25,12
73,25,12
74,21,12
75,14,12
76,25,12
77,22,12
78,18,12
79,23,12
80,23,12
81,21,12
82,20,12
83,21,12
84,22,12
85,22,12
86,22,12
87,23,12
88,22,12
89,21,12
90,20,12
91,23,12
92,22,12
93,23,12
94,24,12
95,24,12
96,21,12
97,22,12
98,25,12
99,25,12
100,20,12
